"purchase","nTab","moCbook","iRecMer1","llDol"
0,1,50,0.08915183,-2.302585
0,0,50,0.03554248,-2.302585
0,1,50,0.02527316,-2.302585
0,12,20.10512,0.1164321,5.880533
0,3,50,0.01960784,-2.302585
0,0,50,0.04242864,-2.302585
0,19,8.574244,0.4447691,3.468544
0,4,50,0.05685044,-2.302585
0,0,50,0.01960784,-2.302585
0,11,50,0.5917574,4.860277
0,3,50,0.01960784,-2.302585
0,1,50,0.1467412,3.222071
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,11,7.851511,0.6698944,5.27837
0,3,50,0.0450003,-2.302585
0,0,50,0.02270896,-2.302585
0,2,7.588699,0.1526274,-2.302585
0,1,50,0.03292804,-2.302585
0,4,50,0.02222806,-2.302585
0,0,50,0.01960784,-2.302585
0,7,50,0.06512066,3.691127
0,0,50,0.0213698,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,4,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.08761225,-2.302585
0,2,50,0.1121426,-2.302585
0,1,50,0.09559101,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,5,21.41919,0.6849685,6.013666
0,2,50,0.1632697,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
1,8,17.83837,0.549062,4.318687
0,0,50,0.01960784,-2.302585
0,0,50,0.02699922,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.03669946,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,7,18.33114,0.5804729,4.575638
0,1,50,0.1133959,-2.302585
0,12,50,0.883856,3.1394
0,1,50,0.2971496,-2.302585
0,0,50,0.06654425,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.05253348,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.09129079,-2.302585
0,1,50,0.3092239,-2.302585
0,3,50,0.03915415,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
1,0,50,0.02340746,-2.302585
0,5,50,0.04078024,4.500476
0,3,50,0.06639909,-2.302585
0,1,50,0.3982208,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.02488066,-2.302585
0,1,50,0.08786514,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.05771273,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.029285,-2.302585
0,1,50,0.3982208,-2.302585
0,2,50,0.0225408,-2.302585
0,11,9.362681,0.4581577,5.352095
0,1,50,0.01960784,-2.302585
0,1,50,0.03935664,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.02208293,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,4,50,0.04460465,4.567676
0,1,50,0.1467412,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.02144508,-2.302585
0,1,21.09067,0.6156958,3.557631
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.02587467,-2.302585
0,2,50,0.6416526,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.03732954,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
1,2,50,0.01960784,-2.302585
0,1,50,0.02922876,-2.302585
0,6,21.18922,0.04694343,4.779544
0,4,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.06232086,-2.302585
0,3,50,0.07154945,-2.302585
0,0,50,0.1210627,-2.302585
0,1,50,0.1807172,5.06386
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,4,50,0.05580815,5.761988
0,0,50,0.01960784,-2.302585
0,2,50,0.01960784,-2.302585
0,0,50,0.06833693,-2.302585
0,13,45.82786,0.3604927,4.883105
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,5,50,0.08445234,3.403528
0,0,50,0.01960784,-2.302585
0,4,22.24047,0.6156958,4.383151
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.02072948,-2.302585
0,8,29.53351,0.08686223,-2.302585
0,8,50,0.0484374,5.837351
0,0,50,0.01960784,-2.302585
0,5,50,0.02917274,-2.302585
0,0,50,0.2756248,-2.302585
0,2,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.04760415,3.000222
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,6,50,0.04790381,5.703682
1,1,50,0.01960784,3.572346
0,0,50,0.01960784,-2.302585
0,2,50,0.01960784,-2.302585
0,2,50,0.1051686,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.01960784,-2.302585
0,2,50,0.2659909,-2.302585
0,1,50,0.04447431,4.852343
0,1,50,0.0261863,-2.302585
0,0,50,0.07897468,-2.302585
0,0,50,0.01960784,-2.302585
0,2,22.17477,0.04315037,4.784905
0,0,50,0.2807082,-2.302585
0,4,45.63075,0.029285,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,4,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,11,21.78055,0.4321408,4.754021
1,12,50,0.1686987,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.02475924,-2.302585
0,0,50,0.1070173,-2.302585
0,3,50,0.2369978,-2.302585
0,2,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,5,22.17477,0.2281175,3.691127
0,9,50,0.2465975,-2.302585
0,3,50,0.1196353,-2.302585
0,1,50,0.07697754,-2.302585
0,8,43.36399,0.5121131,-2.302585
1,9,26.74113,0.06818385,3.094672
0,2,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,31,8.442838,0.487508,3.952973
0,15,21.94481,0.7918835,4.913096
0,0,50,0.01960784,-2.302585
0,1,50,0.6416526,-2.302585
0,2,50,0.3982208,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,6,50,0.2942769,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.8130342,-2.302585
0,0,50,0.3692382,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.4651589,-2.302585
0,0,50,0.01960784,-2.302585
0,1,44.54665,0.02455948,-2.302585
0,0,50,0.01960784,-2.302585
1,13,9.526938,0.1142471,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,2,50,0.1220334,4.095843
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.3403399,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.6554694,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,5,50,0.1051686,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.03915415,-2.302585
0,13,43.00263,0.1735066,3.094672
1,7,8.90276,0.5393338,3.404525
1,1,50,0.2570078,-2.302585
0,1,50,0.02090028,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.02583076,-2.302585
0,3,20.26938,0.05727834,3.893248
0,0,50,0.01960784,-2.302585
0,1,50,0.0450003,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.3982208,-2.302585
0,3,50,0.05450899,-2.302585
0,0,50,0.01960784,-2.302585
0,5,50,0.4954427,4.095843
0,0,50,0.01960784,-2.302585
0,2,50,0.01960784,-2.302585
0,3,50,0.01960784,3.468856
0,0,50,0.01960784,-2.302585
0,7,46.12352,0.06512066,-2.302585
0,11,29.20499,0.05208405,4.204245
0,0,50,0.01960784,-2.302585
0,6,9.494087,0.09529176,5.627549
0,0,50,0.01960784,-2.302585
0,5,29.96058,0.3441882,-2.302585
0,1,50,0.4383641,-2.302585
0,1,50,0.04467011,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.0640249,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,5,50,0.03639233,-2.302585
0,10,32.75296,0.4321408,4.977147
0,5,32.26018,0.06540048,4.60597
0,2,46.09067,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.04859204,-2.302585
0,0,50,0.1785966,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.06309593,-2.302585
0,3,50,0.04116629,-2.302585
0,2,50,0.01960784,4.554613
0,5,8.442838,0.4383641,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.03162795,-2.302585
0,3,34.19842,0.02841036,-2.302585
0,0,50,0.01960784,-2.302585
0,5,50,0.5804729,-2.302585
0,14,42.54271,0.4581577,4.128424
0,0,50,0.04278646,-2.302585
0,0,50,0.0224411,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.06698354,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.01960784,-2.302585
0,27,32.45729,0.4581577,4.344714
0,1,50,0.01960784,-2.302585
0,12,50,0.06168936,-2.302585
0,0,50,0.01960784,-2.302585
0,2,19.41524,0.06713126,4.026779
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,1,50,0.02799235,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.02576517,-2.302585
0,3,50,0.07959418,-2.302585
0,0,50,0.01960784,-2.302585
0,1,20.30223,0.01960784,2.949165
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.02232588,-2.302585
0,1,50,0.03760625,-2.302585
0,1,50,0.01960784,3.585739
0,2,50,0.09353491,3.586016
0,5,21.51774,0.5393338,5.106067
0,0,50,0.05217332,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.0615646,3.639952
0,3,50,0.02557038,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.04775351,-2.302585
0,0,50,0.1446493,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.08736081,-2.302585
0,0,50,0.01960784,-2.302585
0,8,50,0.1735066,3.404193
0,4,50,0.07959418,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,8,20.79501,0.6416526,4.927399
0,0,50,0.5393338,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.08915183,-2.302585
0,0,50,0.01960784,-2.302585
1,3,50,0.02557038,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.03630552,-2.302585
0,6,22.10907,0.05280688,2.406044
0,10,50,0.1775548,4.637831
0,32,20.13798,0.5393338,6.32066
0,10,29.89488,0.2971496,4.828634
0,1,50,0.04595133,-2.302585
0,4,50,0.4034995,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.2167474,-2.302585
0,1,50,0.1755074,-2.302585
0,0,50,0.03257566,-2.302585
1,46,17.477,0.50364,5.971364
0,1,50,0.03956124,-2.302585
0,0,50,0.01960784,-2.302585
0,4,50,0.1121426,4.095843
0,0,50,0.01960784,-2.302585
0,2,50,0.1225246,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,7,46.05782,0.04836045,3.370051
0,0,50,0.02085732,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.02235868,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.8130342,-2.302585
0,2,50,0.0287865,-2.302585
0,5,31.83311,0.3930785,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,7,50,0.7718053,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.07171803,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.1097174,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.03250609,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.03732954,-2.302585
0,0,50,0.1785966,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.4954427,-2.302585
0,4,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,32.45729,0.02988885,-2.302585
0,3,50,0.01960784,-2.302585
0,0,50,0.0260965,-2.302585
0,0,50,0.01960784,-2.302585
0,4,50,0.2064569,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.1260769,-2.302585
0,8,34.09987,0.03621912,4.48931
0,1,50,0.2971496,-2.302585
0,5,21.91196,0.1945794,3.691127
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,3.404193
0,0,50,0.01960784,-2.302585
0,0,50,0.09047676,-2.302585
1,3,45.53219,0.3223211,-2.302585
0,2,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.02922876,-2.302585
0,5,43.4954,0.147452,-2.302585
0,0,50,0.01960784,-2.302585
0,10,50,0.1549583,3.691127
0,16,50,0.5804729,5.51363
0,0,50,0.01960784,-2.302585
0,0,50,0.0261863,-2.302585
0,1,5.059133,0.01960784,-2.302585
1,11,50,0.2064569,4.419684
0,1,50,0.2591962,-2.302585
0,0,50,0.01960784,-2.302585
0,11,50,0.4581577,-2.302585
0,0,50,0.5917574,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.883856,-2.302585
0,6,20.95926,0.5393338,5.564903
0,0,50,0.01960784,-2.302585
0,2,50,0.1077751,-2.302585
0,2,50,0.0929636,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,5,34.19842,0.09869018,-2.302585
0,0,50,0.05317588,-2.302585
0,3,50,0.01960784,-2.302585
0,1,50,0.03437839,-2.302585
0,1,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.01960784,-2.302585
1,4,50,0.02889581,-2.302585
0,5,50,0.0484374,-2.302585
0,0,50,0.02756148,-2.302585
0,4,50,0.01960784,-2.302585
0,2,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,21,8.607096,0.2591962,4.86051
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.0280957,-2.302585
0,0,50,0.1573615,-2.302585
0,0,50,0.03196002,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.0640249,-2.302585
0,2,50,0.3481244,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.2591962,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.2707222,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.1565521,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,1,46.09067,0.02123563,-2.302585
0,1,50,0.01960784,-2.302585
0,9,50,0.0450003,5.939934
0,0,50,0.01960784,-2.302585
0,1,45.63075,0.02144508,-2.302585
0,1,50,0.06046401,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.1533965,-2.302585
0,3,50,0.3604927,-2.302585
0,0,50,0.01960784,-2.302585
0,6,50,0.01960784,5.298367
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,7,42.477,0.364813,-2.302585
0,4,50,0.03971609,-2.302585
0,3,50,0.1623986,-2.302585
0,0,50,0.1406394,-2.302585
0,0,50,0.3982208,-2.302585
0,3,50,0.0526243,-2.302585
0,4,50,0.01960784,-2.302585
0,0,50,0.02167412,-2.302585
0,4,50,0.05280688,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.02971379,-2.302585
0,1,50,0.0450003,6.115958
0,1,50,0.07639795,-2.302585
0,1,50,0.02090028,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.3328959,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,3,27.95664,0.2214785,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.02629942,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.01960784,-2.302585
0,6,31.73456,0.05771273,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.03162795,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.05570602,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.1419511,-2.302585
0,4,50,0.06582476,3.222469
0,1,50,0.01960784,-2.302585
0,3,50,0.01960784,4.683057
0,0,50,0.2231017,-2.302585
0,0,50,0.03701182,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.6554694,-2.302585
0,0,50,0.01960784,-2.302585
0,5,50,0.04752982,4.533137
0,2,50,0.01960784,-2.302585
0,8,22.33903,0.01960784,4.095677
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,9,50,0.04161654,-2.302585
0,2,50,0.06596741,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,5,18.62681,0.0270472,3.585739
0,6,50,0.06926998,5.53757
0,1,50,0.1765252,-2.302585
0,2,50,0.1632697,-2.302585
0,0,50,0.01960784,-2.302585
0,5,50,0.487508,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,6,50,0.4651589,-2.302585
0,2,50,0.05336232,-2.302585
0,0,50,0.02922876,-2.302585
0,1,50,0.01960784,-2.302585
0,0,50,0.04836045,-2.302585
0,0,50,0.01960784,-2.302585
0,1,50,0.07039127,-2.302585
0,1,50,0.4954427,-2.302585
0,2,50,0.03533618,-2.302585
0,7,50,0.1406394,3.40386
0,12,50,0.07327171,3.913622
0,2,50,0.01960784,-2.302585
0,0,50,0.3441882,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.03505136,-2.302585
0,3,34.13272,0.06742867,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.188553,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.09129079,-2.302585
0,0,50,0.04111069,-2.302585
0,1,50,0.03350799,-2.302585
0,5,50,0.1196353,-2.302585
0,1,50,0.03350799,-2.302585
0,4,20.46649,0.07171803,5.505332
0,1,50,0.01960784,-2.302585
0,0,50,0.06389052,-2.302585
0,0,50,0.02197136,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,3,50,0.01960784,-2.302585
0,0,50,0.02187662,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.01960784,3.872658
0,1,50,0.03779301,-2.302585
0,0,50,0.02097228,-2.302585
0,0,50,0.09965951,-2.302585
0,0,50,0.02504443,-2.302585
0,0,50,0.01960784,-2.302585
0,2,50,0.01960784,-2.302585
