"longitude","latitude","housingMedianAge","population","households","medianIncome","AveBedrms","AveRooms","AveOccupancy","logMedVal"
-122.25,37.81,39,389,228,3.125,1.06140350877193,3.74561403508772,1.70614035087719,12.3779229024568
-122.25,37.81,52,895,613,2.5795,1.14355628058728,3.51549755301794,1.46003262642741,12.7656884334656
-122.26,37.81,34,2689,1789,2.8406,1.06987143655674,3.28172163219676,1.5030743432085,12.7239731829681
-122.24,37.82,52,674,244,4.9306,0.922131147540984,6.1844262295082,2.76229508196721,12.6552356089041
-122.24,37.81,52,709,456,3.2727,1.05701754385965,4.44298245614035,1.55482456140351,12.5006061929311
-122.25,37.81,52,686,422,3.1691,1.09004739336493,4.16587677725119,1.62559241706161,12.4661265508645
-122.24,37.82,52,1444,718,3.9,1.04596100278552,4.84818941504178,2.01114206128134,12.5270685970119
-122.25,37.82,28,1520,802,3.9063,1.06608478802993,4.16084788029925,1.89526184538653,12.3238556811866
-122.25,37.82,52,550,253,5.0917,1.14229249011858,5.62845849802372,2.17391304347826,12.4780063610138
-122.25,37.82,32,1806,1022,2.6429,1.07436399217221,3.72700587084149,1.76712328767123,12.2945412935178
-122.25,37.82,26,1749,1217,3.0233,0.982744453574363,3.25308134757601,1.43714050944947,12.4490188241406
-122.25,37.83,52,939,519,3.1484,1.07707129094412,4.57803468208092,1.80924855491329,12.319847659789
-122.25,37.83,35,675,422,3.4722,1.01421800947867,3.82227488151659,1.59952606635071,12.4012281603042
-122.25,37.83,52,534,291,3.1429,0.986254295532646,4.39518900343643,1.83505154639175,12.352767024681
-122.25,37.83,28,2558,1661,2.4234,1.05358217940999,3.02347983142685,1.54003612281758,12.2945412935178
-122.25,37.83,52,1786,1037,3.0897,1.0655737704918,4.04050144648023,1.72227579556413,12.363503653479
-122.23,37.84,50,970,373,5.8596,1.06970509383378,6.7426273458445,2.60053619302949,12.6995486309611
-122.23,37.84,47,1098,485,5.2868,0.936082474226804,6.54639175257732,2.2639175257732,12.7588076723734
-122.24,37.83,41,794,376,5.956,1.07978723404255,6.85106382978723,2.11170212765957,12.8106617991083
-122.24,37.85,37,98,47,4.9643,1.14893617021277,7.1063829787234,2.08510638297872,12.7218858108072
-122.23,37.85,52,1061,403,6.3434,1.01985111662531,6.94789081885856,2.63275434243176,12.8309409853368
-122.24,37.84,52,1177,555,5.1773,1.03423423423423,6.35855855855856,2.12072072072072,12.8726191442929
-122.24,37.85,52,901,367,7.2354,0.994550408719346,7.11716621253406,2.4550408719346,12.8767185607436
-122.22,37.85,28,2031,956,5.457,1.09623430962343,5.53033472803347,2.1244769874477,12.7287280210497
-122.22,37.84,50,1031,479,7.5,0.987473903966597,6.12734864300626,2.15240083507307,12.5954083717085
-122.21,37.84,44,1358,597,6.0194,1,5.73534338358459,2.27470686767169,12.5855359510993
-122.21,37.83,40,1616,654,7.5544,1.03058103975535,7.63149847094801,2.47094801223242,12.9275642990993
-122.2,37.84,30,844,343,6.0666,1.00874635568513,6.44606413994169,2.46064139941691,12.6491546172096
-122.21,37.84,34,1140,496,7.0548,0.987903225806452,6.125,2.29838709677419,12.6943458648257
-122.19,37.84,18,533,194,11.6017,1.08247422680412,8.33505154639175,2.74742268041237,12.8805465608245
-122.2,37.84,35,1072,443,7.4882,1.03837471783296,6.46726862302483,2.41986455981941,12.6738863787029
-122.21,37.83,34,1627,766,6.8976,1.02872062663185,6.61227154046997,2.12402088772846,12.7167982642958
-122.19,37.83,28,463,190,8.2049,0.968421052631579,6.97894736842105,2.43684210526316,12.7224826475901
-122.2,37.83,26,542,211,8.401,1.05687203791469,7.53080568720379,2.56872037914692,12.7691111407431
-122.19,37.83,29,661,269,6.8538,1.00743494423792,6.65799256505576,2.45724907063197,12.8182808835848
-122.19,37.82,32,635,263,8.317,1.00380228136882,6.97718631178707,2.41444866920152,12.8101153510073
-122.2,37.82,37,420,176,7.0175,1.02840909090909,6.98295454545455,2.38636363636364,12.8122993540594
-122.2,37.82,39,1265,500,6.3302,1.068,7.54,2.53,12.8016069972231
-122.18,37.81,30,126,52,6.3624,0.730769230769231,5.61538461538461,2.42307692307692,13.0883928578332
-122.21,37.82,52,813,350,7.0549,0.951428571428571,6.78571428571429,2.32285714285714,12.7110813839746
-122.2,37.81,45,1067,426,6.7851,1.02347417840376,6.95774647887324,2.50469483568075,12.6869543929231
-122.21,37.8,50,1260,552,2.8929,1.09601449275362,5.13224637681159,2.28260869565217,12.2862691875245
-122.21,37.8,38,951,487,3.0812,1.09856262833676,4.62833675564682,1.95277207392197,12.3592228250238
-122.21,37.81,52,510,224,5.2402,0.946428571428571,6.20089285714286,2.27678571428571,12.5994651724041
-122.22,37.81,52,765,308,6.5217,1.08766233766234,6.39935064935065,2.48376623376623,12.5197878950288
-122.22,37.8,52,1129,460,3.2632,1.01086956521739,4.74565217391304,2.45434782608696,12.3357842520518
-122.22,37.8,52,1073,441,3.0298,1.05215419501134,5.18367346938776,2.43310657596372,12.2040706428595
-122.22,37.8,52,1185,515,4.5428,1.0504854368932,5.28349514563107,2.30097087378641,12.3875605215756
-122.22,37.81,52,756,340,4.072,0.997058823529412,5.95294117647059,2.22352941176471,12.5065475397807
-122.22,37.81,52,1034,521,5.3509,1.02879078694818,5.65067178502879,1.98464491362764,12.6185133673748
-122.23,37.8,52,787,459,3.1603,1.05882352941176,4.42919389978213,1.71459694989107,12.5043236693312
-122.23,37.81,52,612,213,4.7708,1.07511737089202,6.72769953051643,2.87323943661972,12.6593750830525
-122.22,37.81,52,1021,380,8.1564,1.05789473684211,7.70263157894737,2.68684210526316,12.8741583954947
-122.23,37.81,52,861,258,8.8793,1.13178294573643,8.97286821705426,3.33720930232558,12.9246438784303
-122.24,37.81,52,953,327,6.8591,0.957186544342508,7.59938837920489,2.91437308868502,12.7725221730442
-122.24,37.81,52,634,256,6.0302,0.9296875,5.8203125,2.4765625,12.5682822449674
-122.23,37.81,52,878,352,7.508,1.03693181818182,7.99431818181818,2.49431818181818,12.7619672326637
-122.24,37.81,52,918,483,2.7477,1.13871635610766,4.33333333333333,1.90062111801242,12.4041034960293
-122.24,37.8,52,360,175,2.1944,0.96,5.07428571428571,2.05714285714286,12.2619802774685
-122.25,37.8,52,1197,488,3.0149,1.04508196721311,4.2766393442623,2.45286885245902,12.2940835228529
-122.24,37.81,52,1048,518,3.675,0.969111969111969,4.85135135135135,2.02316602316602,12.5058067990061
-122.25,37.81,46,1373,747,3.225,1.11780455153949,4.32663989290495,1.8380187416332,12.29591334953
-122.25,37.8,42,1715,1015,2.9345,1.04926108374384,4.05911330049261,1.68965517241379,12.3238556811866
-122.25,37.8,43,1359,722,2.1429,1.09695290858726,3.27423822714681,1.88227146814404,12.4292161968444
-122.25,37.8,41,1062,413,1.6121,1.13559322033898,3.56174334140436,2.57142857142857,12.0517552851458
-122.25,37.8,29,1335,773,1.3929,1.11772315653299,3.19275549805951,1.72703751617076,12.1745819784388
-122.24,37.79,27,1171,429,2.3173,1.14685314685315,3.8041958041958,2.72960372960373,11.7360690162844
-122.25,37.79,45,1475,460,1.7772,1.14347826086957,3.88260869565217,3.20652173913043,11.4876076569859
-122.25,37.79,50,742,196,2.6458,0.959183673469388,3.20918367346939,3.78571428571429,11.7360690162844
-122.25,37.79,52,1086,363,2.181,1.0771349862259,3.68870523415978,2.99173553719008,11.8407893270548
-122.25,37.8,36,1645,543,2.2303,1.11602209944751,3.0902394106814,3.02946593001842,11.6673618182746
-122.25,37.8,43,1710,644,1.6504,1.00465838509317,3.63975155279503,2.65527950310559,11.9303191439437
-122.24,37.8,52,731,228,2.2697,1,4.36842105263158,3.20614035087719,11.7519423654407
-122.24,37.8,52,1118,347,2.1563,1.07492795389049,4.5850144092219,3.22190201729107,11.7644620907857
-122.24,37.8,52,1006,335,2.1348,1.18805970149254,4.73432835820896,3.00298507462687,11.8536742583587
-122.24,37.8,47,1213,554,2.6292,1.06137184115523,3.69314079422383,2.18953068592058,12.1156007423661
-122.23,37.8,52,772,257,2.3833,1.12451361867704,4.63813229571984,3.00389105058366,11.897507362162
-122.24,37.8,52,1321,401,2.957,1.04738154613466,4.49625935162095,3.29426433915212,11.7183122946952
-122.24,37.8,49,1487,677,2.5238,1.10635155096012,4.19202363367799,2.19645494830133,12.0394275681212
-122.23,37.8,52,488,186,1.9375,0.989247311827957,4.20967741935484,2.62365591397849,11.7487877886922
-122.23,37.8,51,949,392,1.9028,1.05612244897959,4.05612244897959,2.42091836734694,11.7590039875669
-122.23,37.8,50,1149,415,2.25,1.1566265060241,4.20722891566265,2.76867469879518,11.7239964350502
-122.23,37.8,52,844,280,2.3929,1.06785714285714,4.47142857142857,3.01428571428571,11.6253608943
-122.23,37.79,43,4367,1231,2.1917,1.09179528838343,4.84402924451665,3.54752233956133,11.6333716180461
-122.23,37.79,52,1659,412,2.9357,0.95873786407767,4.32766990291262,4.02669902912621,11.5889601512462
-122.23,37.79,30,1011,263,1.8854,1.00380228136882,3.79847908745247,3.84410646387833,11.8313791960888
-122.24,37.79,39,1464,389,2.1638,1.10796915167095,3.77634961439589,3.76349614395887,11.5664662318983
-122.24,37.79,47,1237,303,2.125,1.3036303630363,4.52805280528053,4.08250825082508,11.4668815264688
-122.24,37.79,52,647,168,3.375,1.07142857142857,4.01190476190476,3.85119047619048,11.662207167686
-122.24,37.79,43,1284,357,2.2542,1.05322128851541,4.5546218487395,3.59663865546218,11.6280382720707
-122.25,37.79,51,228,55,2.1,0.781818181818182,3.18181818181818,4.14545454545455,11.2252433925184
-122.25,37.79,39,381,123,1.6,1.04878048780488,3.7479674796748,3.09756097560976,11.6307085006266
-122.25,37.79,52,846,227,3.625,1.04405286343612,3.97356828193833,3.72687224669604,11.7360690162844
-122.26,37.8,20,1659,676,1.6929,1.15236686390533,3.5103550295858,2.45414201183432,11.6526874073454
-122.22,37.77,52,520,138,1.6471,0.927536231884058,2.83333333333333,3.76811594202899,11.4616321705827
-122.22,37.77,52,866,259,2.59,1.16216216216216,4.38996138996139,3.34362934362934,11.4762614805986
-122.23,37.77,52,612,183,2.57,1.12568306010929,4.20218579234973,3.34426229508197,11.1844213979982
-122.23,37.78,52,415,126,2.6429,1.15873015873016,3.74603174603175,3.29365079365079,11.1746516064024
-122.23,37.78,52,994,213,3.0257,1.0093896713615,4.04694835680751,4.66666666666667,11.2997322445092
-122.22,37.78,50,1525,477,1.4886,1.11111111111111,4.0251572327044,3.19706498951782,11.7660160926524
-122.23,37.78,43,1506,438,1.9338,1.07762557077626,3.24200913242009,3.43835616438356,11.6307085006266
-122.23,37.78,52,1008,255,1.4844,1.01176470588235,3.86666666666667,3.95294117647059,11.6902344799406
-122.23,37.78,44,2813,751,1.6009,1.09853528628495,3.11584553928096,3.745672436751,11.6792870021855
-122.23,37.79,48,1481,343,2.0375,1.15451895043732,4.94460641399417,4.31778425655977,11.7158663089669
-122.23,37.79,49,859,219,2.293,0.990867579908676,5.36529680365297,3.92237442922374,11.57402056433
-122.22,37.79,37,1608,523,2.1494,1.09751434034417,4.47992351816444,3.07456978967495,11.7943379244084
-122.23,37.79,30,425,140,1.6198,1.03571428571429,4.35714285714286,3.03571428571429,11.717497630699
-122.23,37.79,40,564,184,1.3281,1.08152173913043,5.05434782608696,3.06521739130435,11.6377944470161
-122.22,37.79,44,961,272,3.5156,1.15441176470588,5.46691176470588,3.53308823529412,11.6036798282387
-122.22,37.79,52,2273,685,3.9048,1.00729927007299,4.9985401459854,3.31824817518248,12.0118809161657
-122.21,37.79,52,600,195,3.0893,0.974358974358974,3.90769230769231,3.07692307692308,11.7360690162844
-122.22,37.79,46,1647,527,2.6042,1.09108159392789,4.48956356736243,3.12523719165085,11.7336661316681
-122.22,37.79,49,1201,424,2.5,1.06132075471698,4.30660377358491,2.83254716981132,11.825544022712
-122.22,37.79,38,2167,659,2.7969,1.07890743550835,4.62670713201821,3.28831562974203,11.8614674256788
-122.2,37.79,29,939,340,2.8321,1.10588235294118,4.82352941176471,2.76176470588235,11.9183905730784
-122.21,37.79,47,859,292,2.9583,1.0513698630137,5.28424657534247,2.94178082191781,11.8407893270548
-122.21,37.79,34,1517,516,2.8365,1.07945736434109,4.58139534883721,2.93992248062015,11.8436670268825
-122.21,37.79,35,1143,386,2.875,1.05958549222798,4.52072538860104,2.96113989637306,11.8761787242691
-122.21,37.8,39,1109,464,3.0682,1.07758620689655,4.31681034482759,2.39008620689655,11.9608112889623
-122.21,37.8,39,1221,446,3.0757,1.00224215246637,4.52466367713004,2.73766816143498,11.9250351157971
-122.2,37.8,43,1115,455,4.9559,1.0967032967033,6.69230769230769,2.45054945054945,12.5172270741671
-122.2,37.8,52,706,268,4.7721,1.09328358208955,5.77238805970149,2.63432835820896,12.2881133558664
-122.21,37.8,52,1883,706,3.4861,1.0070821529745,4.98441926345609,2.6671388101983,12.1393985122622
-122.2,37.8,41,804,340,5.1184,1.04117647058824,6.08823529411765,2.36470588235294,12.3867261452234
-122.21,37.8,48,506,252,4.0977,1.04365079365079,5.24206349206349,2.00793650793651,12.3445293886772
-122.19,37.8,48,610,238,4.744,1.08823529411765,7.11764705882353,2.56302521008403,12.4579979982698
-122.19,37.8,46,768,332,4.2727,1.02710843373494,5.83734939759036,2.31325301204819,12.4167386753333
-122.19,37.79,50,462,184,2.9844,1.05978260869565,5.26086956521739,2.51086956521739,12.1001564199386
-122.2,37.79,40,667,235,4.1739,1.08936170212766,4.51063829787234,2.83829787234043,12.0411980023399
-122.2,37.8,46,1059,399,3.8487,1.01503759398496,5.11528822055138,2.65413533834586,12.2224379996164
-122.19,37.8,52,637,277,4.0114,0.978339350180505,6.54512635379061,2.29963898916967,12.4814290682913
-122.19,37.79,45,1106,454,4.6563,0.993392070484581,5.98678414096916,2.43612334801762,12.3536302098878
-122.19,37.79,28,1737,669,2.9297,1.13751868460389,4.69955156950673,2.59641255605381,11.8529627677559
-122.2,37.79,35,1009,390,2.3036,1.17692307692308,4.62051282051282,2.58717948717949,11.7440371859336
-122.2,37.79,49,737,210,2.6667,0.928571428571429,4.2,3.50952380952381,11.7117763237154
-122.2,37.79,44,1354,491,2.619,0.920570264765784,3.30142566191446,2.75763747454175,11.8108053623985
-122.21,37.79,45,1530,474,2.4167,1.12447257383966,4.4620253164557,3.22784810126582,11.8451027773086
-122.2,37.79,45,1410,480,2.7788,1.1,4.21041666666667,2.9375,11.6561596330561
-122.21,37.78,46,1390,569,2.7352,0.892794376098418,3.93497363796134,2.44288224956063,11.8299235917561
-122.21,37.78,52,1065,269,1.8472,1.11524163568773,5.4907063197026,3.95910780669145,11.8277362048103
-122.21,37.78,52,792,245,2.6583,0.914285714285714,4.31020408163265,3.23265306122449,11.8677987869623
-122.21,37.78,49,779,245,3.0536,0.995918367346939,3.66530612244898,3.17959183673469,11.8313791960888
-122.22,37.78,44,2269,610,2.3906,1.16393442622951,4.8655737704918,3.71967213114754,11.6235719850573
-122.21,37.78,43,1227,407,1.7188,1.13022113022113,4.18181818181818,3.01474201474201,11.7503663209853
-122.21,37.78,47,753,241,2.625,1.02904564315353,3.65560165975104,3.12448132780083,11.6199845372636
-122.22,37.77,40,547,135,2.8015,0.844444444444444,3.65925925925926,4.05185185185185,11.6509467628676
-122.22,37.78,50,1807,440,1.7276,1.075,4.03636363636364,4.10681818181818,11.5356649519397
-122.22,37.78,44,1700,495,2.0801,1.03838383838384,3.38989898989899,3.43434343434343,11.7897993387054
-122.22,37.78,51,1543,393,2.489,1.17811704834606,4.16539440203562,3.92620865139949,11.6877187553434
-122.21,37.76,52,1085,300,1.7546,1.04666666666667,4.73333333333333,3.61666666666667,11.2972539284947
-122.21,37.77,52,353,137,4.0904,1.26277372262774,4.31386861313869,2.57664233576642,11.2972539284947
-122.21,37.77,52,473,149,2.6765,1.02684563758389,5,3.1744966442953,11.3941419289803
-122.2,37.77,49,1621,483,2.4338,1.03105590062112,4.70393374741201,3.35610766045549,11.5366419915875
-122.21,37.77,46,1183,354,2.3309,1.05932203389831,3.48587570621469,3.34180790960452,11.4998402254216
-122.21,37.77,43,836,277,2.2604,1.1841155234657,3.67148014440433,3.01805054151625,11.5129254649702
-122.19,37.77,42,900,263,1.8039,0.965779467680608,3.54372623574144,3.42205323193916,11.4327994204909
-122.2,37.77,39,1888,537,2.2562,1.11173184357542,5.00744878957169,3.51582867783985,11.4595246882431
-122.2,37.77,41,1024,341,2.0562,1.21700879765396,4.5366568914956,3.00293255131965,11.5327280922664
-122.2,37.78,52,1225,423,3.5398,1.04728132387707,5.43735224586288,2.89598108747045,11.9728787583625
-122.2,37.78,39,1071,376,3.1167,1.06117021276596,4.65957446808511,2.84840425531915,11.7084922485142
-122.2,37.78,50,1128,378,2.5401,1.06613756613757,4.93915343915344,2.98412698412698,11.7683425768347
-122.2,37.77,43,1537,484,2.898,1.03719008264463,5.02066115702479,3.17561983471074,11.7068461576075
-122.21,37.78,44,1240,393,2.3125,1.05343511450382,4.39949109414758,3.15521628498728,11.5405406320032
-122.19,37.78,52,469,168,2.875,1.07142857142857,6.10714285714286,2.79166666666667,11.982929094216
-122.19,37.77,52,1086,425,3.3715,1.00705882352941,5.10588235294118,2.55529411764706,11.8768738928755
-122.19,37.77,52,1144,417,3.5114,1.06714628297362,5.58513189448441,2.74340527577938,11.9263587427276
